id_avis,date,source,produit,texte,sentiment,note,langue,type_de_texte,longueur,a_emojis,a_urls,a_hashtags,a_mentions,a_chiffres,a_ponctuation_repetee,a_caracteres_speciaux,texte_clean,tokens,nb_tokens,texte_final
AV0024,2026-08-26,email,SmartWatch Pro,PRODUIT EXCELLENT  JE SUIS TRÈS SATISFAIT ,positif,5,fr,texte en majuscules,42.0,False,False,False,False,False,False,True,produit excellent je suis très satisfait,"['produit', 'excellent', 'je', 'suis', 'très', 'satisfait']",6,produit excellent être très satisfait
AV0026,2026-06-18,sav,Tablette TabPlus,Produit reçu endommagé  je suis mécontent   ! ,negatif,2,fr,texte avec beaucoup de ponctuation,46.0,False,False,False,False,False,True,True,produit reçu endommagé je suis mécontent !,"['produit', 'reçu', 'endommagé', 'je', 'suis', 'mécontent', '!']",7,produit recevoir endommager être mécontent
AV0027,2026-07-13,mobile,Ordinateur NovaBook,Je recommande vivement  tout fonctionne parfaitement ,positif,5,fr,texte normal,53.0,False,False,False,False,False,False,True,je recommande vivement tout fonctionne parfaitement,"['je', 'recommande', 'vivement', 'tout', 'fonctionne', 'parfaitement']",6,recommander vivement tout fonctionner parfaitement
AV0029,2026-02-28,réseaux_sociaux,SmartPhone Y,Produit excellent  je suis trèèès satisfait ,positif,5,fr,texte avec répétition de caractères,44.0,False,False,False,False,False,False,True,produit excellent je suis trèèès satisfait,"['produit', 'excellent', 'je', 'suis', 'trèèès', 'satisfait']",6,produit excellent être trèèès satisfait
AV0032,2026-03-04,sav,Écouteurs AirSound,Je viens de recevoir le produit  à voir dans le temps ,neutre,4,fr,texte contenant une URL,86.0,False,True,False,False,True,False,True,je viens de recevoir le produit à voir dans le temps,"['je', 'viens', 'de', 'recevoir', 'le', 'produit', 'à', 'voir', 'dans', 'le', 'temps']",11,venir recevoir produit voir temps
AV0034,2026-04-14,email,SmartPhone X,La batterie se décharge beaucoup trop vite ,negatif,1,fr,texte normal,43.0,False,False,False,False,False,False,True,la batterie se décharge beaucoup trop vite,"['la', 'batterie', 'se', 'décharge', 'beaucoup', 'trop', 'vite']",7,batterie décharge beaucoup trop vite
AV0036,2026-07-26,réseaux_sociaux,SmartPhone X,Très bon produit  la qualité est au rendez vous ,positif,5,fr,texte contenant une URL,80.0,False,True,False,False,True,False,True,très bon produit la qualité est au rendez vous,"['très', 'bon', 'produit', 'la', 'qualité', 'est', 'au', 'rendez', 'vous']",9,très bon produit qualité être rendez
AV0039,2026-06-28,réseaux_sociaux,Ordinateur NovaBook,Très bonne expérience  simple et efficace  avis,positif,5,fr,texte contenant un hashtag,48.0,False,False,True,False,False,False,True,très bonne expérience simple et efficace avis,"['très', 'bonne', 'expérience', 'simple', 'et', 'efficace', 'avis']",7,très bon expérience simple efficace avis
AV0040,2026-02-25,web,Tablette TabPlus,La livraison s est déroulée normalement  😊,neutre,3,fr,texte contenant des emojis,42.0,True,False,False,False,False,False,True,la livraison s est déroulée normalement 😊,"['la', 'livraison', 's', 'est', 'déroulée', 'normalement', '😊']",7,livraison être dérouler normalement 😊
AV0041,2026-01-15,web,Tablette TabPlus,La qualité est correcte sans être exceptionnelle ,neutre,3,fr,texte contenant une mention,57.0,False,False,False,True,False,False,True,la qualité est correcte sans être exceptionnelle,"['la', 'qualité', 'est', 'correcte', 'sans', 'être', 'exceptionnelle']",7,qualité être correct sans être exceptionnelle
AV0050,2026-01-30,web,Ordinateur NovaBook,Produit reçu endommagé  je suis mécontent  😊,negatif,1,fr,texte contenant des emojis,44.0,True,False,False,False,False,False,True,produit reçu endommagé je suis mécontent 😊,"['produit', 'reçu', 'endommagé', 'je', 'suis', 'mécontent', '😊']",7,produit recevoir endommager être mécontent 😊
AV0054,2026-06-30,sav,Tablette TabPlus,Qualité décevante pour ce prix ,negatif,1,fr,texte normal,31.0,False,False,False,False,False,False,True,qualité décevante pour ce prix,"['qualité', 'décevante', 'pour', 'ce', 'prix']",5,qualité décevant prix
AV0057,2026-04-01,réseaux_sociaux,Écouteurs AirSound,LA LIVRAISON A ÉTÉ TRÈS LONGUE ,negatif,1,fr,texte en majuscules,31.0,False,False,False,False,False,False,True,la livraison a été très longue,"['la', 'livraison', 'a', 'été', 'très', 'longue']",6,livraison avoir être très long
AV0058,2026-08-10,mobile,SmartPhone Y,Produit reçu endommagé  je suis mécontent ,negatif,2,fr,texte normal,47.0,False,False,False,False,False,False,True,produit reçu endommagé je suis mécontent,"['produit', 'reçu', 'endommagé', 'je', 'suis', 'mécontent']",6,produit recevoir endommager être mécontent
AV0060,2026-07-21,web,Écouteurs AirSound,Le produit ne fonctionne déjà plus   ! ,negatif,1,fr,texte avec beaucoup de ponctuation,39.0,False,False,False,False,False,True,True,le produit ne fonctionne déjà plus !,"['le', 'produit', 'ne', 'fonctionne', 'déjà', 'plus', '!']",7,produit ne fonctionner déjà plus
AV0064,2026-01-30,email,SmartPhone Y,Produit correct pour son prix ,neutre,4,fr,texte normal,30.0,False,False,False,False,False,False,True,produit correct pour son prix,"['produit', 'correct', 'pour', 'son', 'prix']",5,produit correct prix
AV0066,2026-01-30,sav,Tablette TabPlus,L utilisation est assez simple ,neutre,3,fr,texte normal,31.0,False,False,False,False,False,False,True,l utilisation est assez simple,"['l', 'utilisation', 'est', 'assez', 'simple']",5,utilisation être assez simple
AV0071,2026-06-07,réseaux_sociaux,SmartWatch Pro,Service client réactif et commande reçue rapidement   ! ,positif,5,fr,texte avec beaucoup de ponctuation,56.0,False,False,False,False,False,True,True,service client réactif et commande reçue rapidement !,"['service', 'client', 'réactif', 'et', 'commande', 'reçue', 'rapidement', '!']",8,service client réactif commande recevoir rapidement
AV0072,2026-02-23,sav,Tablette TabPlus,Très bonne expérience  simple et efficace  😊,positif,4,fr,texte contenant des emojis,44.0,True,False,False,False,False,False,True,très bonne expérience simple et efficace 😊,"['très', 'bonne', 'expérience', 'simple', 'et', 'efficace', '😊']",7,très bon expérience simple efficace 😊
AV0074,2026-05-12,réseaux_sociaux,SmartWatch Pro,Très bon produit  la qualité est au rendez vous  😊,positif,5,fr,texte contenant des emojis,50.0,True,False,False,False,False,False,True,très bon produit la qualité est au rendez vous 😊,"['très', 'bon', 'produit', 'la', 'qualité', 'est', 'au', 'rendez', 'vous', '😊']",10,très bon produit qualité être rendez 😊
AV0077,2026-03-04,mobile,Ordinateur NovaBook,Excellent rapport qualité prix  avis,positif,5,fr,texte contenant un hashtag,37.0,False,False,True,False,False,False,True,excellent rapport qualité prix avis,"['excellent', 'rapport', 'qualité', 'prix', 'avis']",5,excellent rapport qualité prix avis
AV0082,2026-04-23,web,Ordinateur NovaBook,Je recommande vivement  tout fonctionne parfaitement  😊,positif,5,fr,texte contenant des emojis,55.0,True,False,False,False,False,False,True,je recommande vivement tout fonctionne parfaitement 😊,"['je', 'recommande', 'vivement', 'tout', 'fonctionne', 'parfaitement', '😊']",7,recommander vivement tout fonctionner parfaitement 😊
AV0091,2026-02-04,sav,SmartPhone Y,Très bon produit  la qualité est au rendez vous  avis,positif,4,fr,texte contenant un hashtag,54.0,False,False,True,False,False,False,True,très bon produit la qualité est au rendez vous avis,"['très', 'bon', 'produit', 'la', 'qualité', 'est', 'au', 'rendez', 'vous', 'avis']",10,très bon produit qualité être rendez avir
AV0097,2026-07-19,mobile,SmartWatch Pro,LA LIVRAISON S EST DÉROULÉE NORMALEMENT ,neutre,3,fr,texte en majuscules,40.0,False,False,False,False,False,False,True,la livraison s est déroulée normalement,"['la', 'livraison', 's', 'est', 'déroulée', 'normalement']",6,livraison être dérouler normalement
AV0101,2026-07-30,sav,SmartPhone X,Produit excellent  je suis très satisfait  avis,positif,5,fr,texte contenant un hashtag,48.0,False,False,True,False,False,False,True,produit excellent je suis très satisfait avis,"['produit', 'excellent', 'je', 'suis', 'très', 'satisfait', 'avis']",7,produit excellent être très satisfait avis
AV0102,2026-04-22,mobile,Ordinateur NovaBook,Excellent rapport qualité prix   ! ,positif,5,fr,texte avec beaucoup de ponctuation,35.0,False,False,False,False,False,True,True,excellent rapport qualité prix !,"['excellent', 'rapport', 'qualité', 'prix', '!']",5,excellent rapport qualité prix
AV0105,2026-03-28,web,Écouteurs AirSound,Qualité décevante pour ce prix  avis,negatif,1,fr,texte contenant un hashtag,37.0,False,False,True,False,False,False,True,qualité décevante pour ce prix avis,"['qualité', 'décevante', 'pour', 'ce', 'prix', 'avis']",6,qualité décevant prix avis
AV0113,2026-07-05,réseaux_sociaux,Tablette TabPlus,Excellent rapport qualité prix  😊,positif,5,fr,texte contenant des emojis,33.0,True,False,False,False,False,False,True,excellent rapport qualité prix 😊,"['excellent', 'rapport', 'qualité', 'prix', '😊']",5,excellent rapport qualité prix 😊
AV0119,2026-07-27,réseaux_sociaux,SmartWatch Pro,Livraison rapide et produit conforme à mes attentes   ! ,positif,4,fr,texte avec beaucoup de ponctuation,56.0,False,False,False,False,False,True,True,livraison rapide et produit conforme à mes attentes !,"['livraison', 'rapide', 'et', 'produit', 'conforme', 'à', 'mes', 'attentes', '!']",9,livraison rapide produire conforme attente
AV0121,2026-04-26,sav,SmartWatch Pro,Produit parfait  rien à signaler  avis,positif,5,fr,texte contenant un hashtag,39.0,False,False,True,False,False,False,True,produit parfait rien à signaler avis,"['produit', 'parfait', 'rien', 'à', 'signaler', 'avis']",6,produit parfaire rien signaler avis
AV0123,2026-03-03,mobile,Tablette TabPlus,Très bon produit  la qualité est au rendez vous   ! ,positif,5,fr,texte avec beaucoup de ponctuation,52.0,False,False,False,False,False,True,True,très bon produit la qualité est au rendez vous !,"['très', 'bon', 'produit', 'la', 'qualité', 'est', 'au', 'rendez', 'vous', '!']",10,très bon produit qualité être rendez
AV0127,2026-01-19,web,SmartPhone Y,Très bonne expérience  simple et efficace   ! ,positif,5,fr,texte avec beaucoup de ponctuation,46.0,False,False,False,False,False,True,True,très bonne expérience simple et efficace !,"['très', 'bonne', 'expérience', 'simple', 'et', 'efficace', '!']",7,très bon expérience simple efficace
AV0128,2026-04-23,web,Écouteurs AirSound,La qualité est correcte sans être exceptionnelle  😊,neutre,4,fr,texte contenant des emojis,51.0,True,False,False,False,False,False,True,la qualité est correcte sans être exceptionnelle 😊,"['la', 'qualité', 'est', 'correcte', 'sans', 'être', 'exceptionnelle', '😊']",8,qualité être correct sans être exceptionnelle 😊
AV0129,2026-05-09,réseaux_sociaux,Écouteurs AirSound,L utilisation est assez simple  😊,neutre,4,fr,texte contenant des emojis,33.0,True,False,False,False,False,False,True,l utilisation est assez simple 😊,"['l', 'utilisation', 'est', 'assez', 'simple', '😊']",6,utilisation être assez simple 😊
AV0137,2026-02-18,réseaux_sociaux,SmartWatch Pro,Le service client n a pas répondu à ma demande ,negatif,2,fr,texte normal,47.0,False,False,False,False,False,False,True,le service client n a pas répondu à ma demande,"['le', 'service', 'client', 'n', 'a', 'pas', 'répondu', 'à', 'ma', 'demande']",10,service client avoir pas répondre demande
AV0140,2026-05-22,web,Tablette TabPlus,Livraison rapide et produit conforme à mes attentes  😊,positif,5,fr,texte contenant des emojis,54.0,True,False,False,False,False,False,True,livraison rapide et produit conforme à mes attentes 😊,"['livraison', 'rapide', 'et', 'produit', 'conforme', 'à', 'mes', 'attentes', '😊']",9,livraison rapide produire conforme attente 😊
AV0142,2026-08-02,sav,Écouteurs AirSound,Le produit ne fonctionne déjà plus  avis,negatif,2,fr,texte contenant un hashtag,41.0,False,False,True,False,False,False,True,le produit ne fonctionne déjà plus avis,"['le', 'produit', 'ne', 'fonctionne', 'déjà', 'plus', 'avis']",7,produit ne fonctionner déjà plus avis
AV0148,2026-01-12,email,Ordinateur NovaBook,Je recommande vivement  tout fonctionne parfaitement  avis,positif,5,fr,texte contenant un hashtag,59.0,False,False,True,False,False,False,True,je recommande vivement tout fonctionne parfaitement avis,"['je', 'recommande', 'vivement', 'tout', 'fonctionne', 'parfaitement', 'avis']",7,recommander vivement tout fonctionner parfaitement avi
AV0150,2026-01-26,réseaux_sociaux,Écouteurs AirSound,Très bon produit  je recommande ,positif,5,fr,texte normal,32.0,False,False,False,False,False,False,True,très bon produit je recommande,"['très', 'bon', 'produit', 'je', 'recommande']",5,très bon produit recommander
AV0155,2026-06-27,email,SmartPhone X,L utilisation est assez simple   ! ,neutre,3,fr,texte avec beaucoup de ponctuation,35.0,False,False,False,False,False,True,True,l utilisation est assez simple !,"['l', 'utilisation', 'est', 'assez', 'simple', '!']",6,utilisation être assez simple
AV0164,2026-08-02,email,SmartPhone Y,Très déçu par ce produit ,negatif,2,fr,texte contenant une URL,58.0,False,True,False,False,True,False,True,très déçu par ce produit,"['très', 'déçu', 'par', 'ce', 'produit']",5,très déçu produit
AV0166,2026-06-10,web,Ordinateur NovaBook,La qualité est correcte sans être exceptionnelle   ! ,neutre,4,fr,texte avec beaucoup de ponctuation,53.0,False,False,False,False,False,True,True,la qualité est correcte sans être exceptionnelle !,"['la', 'qualité', 'est', 'correcte', 'sans', 'être', 'exceptionnelle', '!']",8,qualité être correct sans être exceptionnelle
AV0171,2026-08-05,réseaux_sociaux,SmartWatch Pro,La livraison a été très longue  avis,negatif,1,fr,texte contenant un hashtag,37.0,False,False,True,False,False,False,True,la livraison a été très longue avis,"['la', 'livraison', 'a', 'été', 'très', 'longue', 'avis']",7,livraison avoir être très long avis
AV0172,2026-05-18,web,Écouteurs AirSound,Produit excellent  je suis très satisfait  😊,positif,5,fr,texte contenant des emojis,44.0,True,False,False,False,False,False,True,produit excellent je suis très satisfait 😊,"['produit', 'excellent', 'je', 'suis', 'très', 'satisfait', '😊']",7,produit excellent être très satisfait 😊
AV0203,2026-03-11,email,SmartWatch Pro,Le produit correspond globalement à la description   ! ,neutre,3,fr,texte avec beaucoup de ponctuation,55.0,False,False,False,False,False,True,True,le produit correspond globalement à la description !,"['le', 'produit', 'correspond', 'globalement', 'à', 'la', 'description', '!']",8,produit correspondre globalement description
AV0204,2026-01-18,mobile,Ordinateur NovaBook,Livraison rapide et produit conforme à mes attentes  avis,positif,5,fr,texte contenant un hashtag,58.0,False,False,True,False,False,False,True,livraison rapide et produit conforme à mes attentes avis,"['livraison', 'rapide', 'et', 'produit', 'conforme', 'à', 'mes', 'attentes', 'avis']",9,livraison rapide produire conforme attente avis
AV0206,2026-07-04,email,Tablette TabPlus,La batterie tient vraiment bien et l écran est superbe  😊,positif,5,fr,texte contenant des emojis,57.0,True,False,False,False,False,False,True,la batterie tient vraiment bien et l écran est superbe 😊,"['la', 'batterie', 'tient', 'vraiment', 'bien', 'et', 'l', 'écran', 'est', 'superbe', '😊']",11,batterie tenir vraiment bien écran être superbe 😊
AV0208,2026-05-05,réseaux_sociaux,Écouteurs AirSound,L utilisation est assez simple  avis,neutre,3,fr,texte contenant un hashtag,37.0,False,False,True,False,False,False,True,l utilisation est assez simple avis,"['l', 'utilisation', 'est', 'assez', 'simple', 'avis']",6,utilisation être assez simple avis
AV0210,2026-01-12,mobile,Écouteurs AirSound,Produit parfait  rien à signaler  😊,positif,5,fr,texte contenant des emojis,35.0,True,False,False,False,False,False,True,produit parfait rien à signaler 😊,"['produit', 'parfait', 'rien', 'à', 'signaler', '😊']",6,produit parfaire rien signaler 😊
AV0220,2026-03-02,web,SmartPhone Y,La batterie tient vraiment bien et l écran est superbe   ! ,positif,5,fr,texte avec beaucoup de ponctuation,59.0,False,False,False,False,False,True,True,la batterie tient vraiment bien et l écran est superbe !,"['la', 'batterie', 'tient', 'vraiment', 'bien', 'et', 'l', 'écran', 'est', 'superbe', '!']",11,batterie tenir vraiment bien écran être superbe
AV0225,2026-04-05,email,SmartPhone X,OK,positif,5,fr,texte en majuscules,2.0,False,False,False,False,False,False,False,ok,['ok'],1,ok
AV0249,2026-02-05,web,SmartWatch Pro,Produit correct pour son prix   ! ,neutre,4,fr,texte avec beaucoup de ponctuation,34.0,False,False,False,False,False,True,True,produit correct pour son prix !,"['produit', 'correct', 'pour', 'son', 'prix', '!']",6,produit correct prix
AV0257,2026-08-12,sav,SmartPhone X,Très déçu par ce produit  avis,negatif,2,fr,texte contenant un hashtag,31.0,False,False,True,False,False,False,True,très déçu par ce produit avis,"['très', 'déçu', 'par', 'ce', 'produit', 'avis']",6,très déçu produit avi
AV0280,2026-03-02,sav,SmartPhone X,Je recommande vivement  tout fonctionne parfaitement   ! ,positif,4,fr,texte avec beaucoup de ponctuation,57.0,False,False,False,False,False,True,True,je recommande vivement tout fonctionne parfaitement !,"['je', 'recommande', 'vivement', 'tout', 'fonctionne', 'parfaitement', '!']",7,recommander vivement tout fonctionner parfaitement
AV0298,2026-05-08,web,SmartPhone X,Qualité décevante pour ce prix  😊,negatif,2,fr,texte contenant des emojis,33.0,True,False,False,False,False,False,True,qualité décevante pour ce prix 😊,"['qualité', 'décevante', 'pour', 'ce', 'prix', '😊']",6,qualité décevant prix 😊
AV0310,2026-07-23,web,Tablette TabPlus,Service client réactif et commande reçue rapidement  😊,positif,4,fr,texte contenant des emojis,54.0,True,False,False,False,False,False,True,service client réactif et commande reçue rapidement 😊,"['service', 'client', 'réactif', 'et', 'commande', 'reçue', 'rapidement', '😊']",8,service client réactif commande recevoir rapidement 😊
AV0333,2026-07-31,sav,Tablette TabPlus,Produit excellent  !  😍😍😍,positif,5,fr,texte contenant des emojis,25.0,True,False,False,False,False,True,True,produit excellent ! 😍😍😍,"['produit', 'excellent', '!', '😍😍😍']",4,produit excellent 😍 😍 😍
AV0336,2026-06-17,email,Ordinateur NovaBook,Très déçu par ce produit  😊,negatif,2,fr,texte contenant des emojis,27.0,True,False,False,False,False,False,True,très déçu par ce produit 😊,"['très', 'déçu', 'par', 'ce', 'produit', '😊']",6,très déçu produit 😊
AV0353,2026-07-30,mobile,SmartPhone Y,Je viens de recevoir le produit  à voir dans le temps  avis,neutre,3,fr,texte contenant un hashtag,60.0,False,False,True,False,False,False,True,je viens de recevoir le produit à voir dans le temps avis,"['je', 'viens', 'de', 'recevoir', 'le', 'produit', 'à', 'voir', 'dans', 'le', 'temps', 'avis']",12,venir recevoir produit voir temps avi
AV0364,2026-05-23,réseaux_sociaux,SmartPhone Y,Le service client n a pas répondu à ma demande  avis,negatif,2,fr,texte contenant un hashtag,53.0,False,False,True,False,False,False,True,le service client n a pas répondu à ma demande avis,"['le', 'service', 'client', 'n', 'a', 'pas', 'répondu', 'à', 'ma', 'demande', 'avis']",11,service client avoir pas répondre demande avis
AV0373,2026-01-12,réseaux_sociaux,SmartPhone Y,Mauvaise expérience  je ne recommande pas  avis,negatif,2,fr,texte contenant un hashtag,48.0,False,False,True,False,False,False,True,mauvaise expérience je ne recommande pas avis,"['mauvaise', 'expérience', 'je', 'ne', 'recommande', 'pas', 'avis']",7,mauvais expérience ne recommander pas avis
AV0383,2026-01-28,web,Tablette TabPlus,Le service client n a pas répondu à ma demande   ! ,negatif,1,fr,texte avec beaucoup de ponctuation,51.0,False,False,False,False,False,True,True,le service client n a pas répondu à ma demande !,"['le', 'service', 'client', 'n', 'a', 'pas', 'répondu', 'à', 'ma', 'demande', '!']",11,service client avoir pas répondre demande
AV0391,2026-08-26,web,SmartWatch Pro,Produit reçu endommagé  je suis mécontent  avis,negatif,2,fr,texte contenant un hashtag,48.0,False,False,True,False,False,False,True,produit reçu endommagé je suis mécontent avis,"['produit', 'reçu', 'endommagé', 'je', 'suis', 'mécontent', 'avis']",7,produit recevoir endommager être mécontent avi
AV0415,2026-01-19,sav,Tablette TabPlus,Service client réactif et commande reçue rapidement  avis,positif,5,fr,texte contenant un hashtag,58.0,False,False,True,False,False,False,True,service client réactif et commande reçue rapidement avis,"['service', 'client', 'réactif', 'et', 'commande', 'reçue', 'rapidement', 'avis']",8,service client réactif commande recevoir rapidement avi
AV0427,2026-06-13,sav,Écouteurs AirSound,La livraison s est déroulée normalement   ! ,neutre,4,fr,texte avec beaucoup de ponctuation,44.0,False,False,False,False,False,True,True,la livraison s est déroulée normalement !,"['la', 'livraison', 's', 'est', 'déroulée', 'normalement', '!']",7,livraison être dérouler normalement
AV0444,2026-03-31,web,Écouteurs AirSound,CE PRODUIT EST VRAIMENT EXCELLENT,negatif,1,fr,texte en majuscules,33.0,False,False,False,False,False,False,False,ce produit est vraiment excellent,"['ce', 'produit', 'est', 'vraiment', 'excellent']",5,produit être vraiment excellent
AV0455,2026-07-31,mobile,Écouteurs AirSound,La livraison s est déroulée normalement  avis,neutre,3,fr,texte contenant un hashtag,46.0,False,False,True,False,False,False,True,la livraison s est déroulée normalement avis,"['la', 'livraison', 's', 'est', 'déroulée', 'normalement', 'avis']",7,livraison être dérouler normalement avis
AV0469,2026-03-31,sav,SmartWatch Pro,La batterie se décharge beaucoup trop vite  avis,negatif,1,fr,texte contenant un hashtag,49.0,False,False,True,False,False,False,True,la batterie se décharge beaucoup trop vite avis,"['la', 'batterie', 'se', 'décharge', 'beaucoup', 'trop', 'vite', 'avis']",8,batterie décharge beaucoup trop vite avis
AV0496,2026-01-02,sav,SmartPhone X,La livraison a été très longue   ! ,negatif,1,fr,texte avec beaucoup de ponctuation,35.0,False,False,False,False,False,True,True,la livraison a été très longue !,"['la', 'livraison', 'a', 'été', 'très', 'longue', '!']",7,livraison avoir être très long
AV0508,2026-08-07,sav,Tablette TabPlus,Le produit correspond globalement à la description  avis,neutre,3,fr,texte contenant un hashtag,57.0,False,False,True,False,False,False,True,le produit correspond globalement à la description avis,"['le', 'produit', 'correspond', 'globalement', 'à', 'la', 'description', 'avis']",8,produit correspondre globalement description avis
AV0518,2026-07-23,web,Écouteurs AirSound,La livraison a été trèèès longue ,negatif,2,fr,texte avec répétition de caractères,33.0,False,False,False,False,False,False,True,la livraison a été trèèès longue,"['la', 'livraison', 'a', 'été', 'trèèès', 'longue']",6,livraison avoir être trèèès long
